DAT,Mean integral radiation,avg_radiation,Mean temperature,Integral temperature (week),plant height,growth length,leaf number,leaf length,leaf width,flower node,fruit node,no,daily produce (kg),daily sales,daily produce (plant/g),month,week
28,1627.0,2044.857,29.03333333,187.5042,27.5,0.0,14.33333333,21.63333333,11.1,0.0,0.0,2018_31,0.0,0.0,0.0,8,4.0
40,581.0,1122.0,25.12083333,319.3925725,47.775,20.275,15.0,24.85,12.125,0.0,0.0,2018_31,0.0,0.0,0.0,9,6.0
47,1930.0,1410.571429,22.74583333,166.2083333,59.025,11.25,17.0,25.875,12.05,8.5,0.0,2018_31,0.0,0.0,0.0,9,7.0
54,1593.0,1222.428571,24.80416667,162.6875,69.05,10.025,16.25,26.35,12.65,5.5,4.0,2018_31,0.0,0.0,0.0,9,8.0
64,1937.0,1301.0,21.04166667,223.3208334,86.675,17.625,14.5,30.25,14.575,7.75,6.75,2018_31,0.0,0.0,0.0,9,9.0
69,1984.0,1475.6,20.59166667,103.8833333,93.95,7.275,16.25,30.025,14.125,9.0,8.0,2018_31,0.0,0.0,0.0,10,10.0
75,1659.0,1269.5,20.1375,123.2541667,105.075,11.125,18.75,22.975,12.275,10.25,9.25,2018_31,0.0,0.0,0.0,10,11.0
82,1552.0,1367.666667,21.42916667,144.8907895,118.5,13.425,19.75,22.075,12.15,11.75,10.5,2018_31,0.0,0.0,0.0,10,12.0
89,1033.0,1391.857143,20.75,147.0333333,128.9,10.4,19.0,22.0,12.875,13.75,12.5,2018_31,0.0,0.0,0.0,10,13.0
96,825.0,1136.857143,21.02083333,144.0583333,137.4,8.5,20.0,25.5,13.975,14.75,14.0,2018_31,0.0,0.0,0.0,10,14.0
103,1169.0,1217.428571,20.8,148.0134058,146.7,9.3,19.75,21.125,12.1,16.75,15.75,2018_31,0.0,0.0,0.0,11,15.0
110,1046.0,760.0,20.20833333,136.95,154.575,7.875,22.5,19.75,11.825,17.75,16.75,2018_31,60.0,1109958.0,2.403846154,11,16.0
117,928.0,800.2857143,19.54583333,137.0916667,165.375,10.8,22.5,20.975,11.275,18.75,17.75,2018_31,718.0,11075505.0,28.766025638000002,11,17.0
124,691.0,706.0,19.48333333,133.2541667,173.15,7.775,22.0,20.275,11.775,20.0,19.0,2018_31,2955.0,33116155.0,118.38942308,11,18.0
131,281.0,732.5714286,18.57083333,135.9791667,179.675,6.525,22.25,20.15,12.225,20.75,20.0,2018_31,1424.0,14173958.0,57.05128205,12,19.0
138,765.0,561.5714286,19.94583333,131.95,187.5,7.825,22.5,19.65,11.4,22.0,20.66666667,2018_31,248.0,2817610.0,9.935897436,12,20.0
145,717.0,646.7142857,19.77083333,136.0708333,195.35,7.85,22.5,19.5,11.85,23.0,21.25,2018_31,160.0,1989264.0,6.41025641,12,21.0
152,806.0,659.4285714,20.67916667,139.8666667,202.375,7.025,17.25,18.725,11.1,24.0,24.0,2018_31,123.0,1592875.0,4.927884615,12,22.0
169,762.0,745.6470588,20.13333333,338.4936572,224.275,21.9,20.5,17.725,10.975,27.33333333,25.25,2018_31,548.0,8783857.0,21.955128204,1,24.0
177,960.0,782.875,21.09583333,162.1958333,232.1,7.825,20.5,19.25,11.425,28.33333333,27.33333333,2018_31,344.0,8454277.0,13.782051282000001,1,25.0
183,1000.0,914.0,21.05,124.5708333,238.575,6.475,21.75,18.85,10.725,28.33333333,26.75,2018_31,285.0,6606092.0,11.41826923,1,26.0
190,157.0,935.2857143,17.9125,143.6416667,246.225,7.65,22.75,18.4,10.0,29.33333333,28.5,2018_31,1031.0,23201411.0,41.30608974,1,27.0
198,1180.0,908.0,20.25,159.7125,252.575,6.35,23.5,18.85,10.65,29.0,28.5,2018_31,1463.0,30371424.0,58.61378205,2,28.0
